DEPARTMENT;AGE_GROUP;WORK_GROUP;HEALTH_GROUP;POPULATION
AMAZONAS;e0;M;S;0
AMAZONAS;e1;M;S;11
AMAZONAS;e2;M;S;404
AMAZONAS;e3;M;S;388
AMAZONAS;e4;M;S;82
AMAZONAS;e5;M;S;42
AMAZONAS;e6;M;S;10
AMAZONAS;e7;M;S;2
ANTIOQUIA;e0;M;S;0
ANTIOQUIA;e1;M;S;507
ANTIOQUIA;e2;M;S;22638
ANTIOQUIA;e3;M;S;19891
ANTIOQUIA;e4;M;S;7279
ANTIOQUIA;e5;M;S;5659
ANTIOQUIA;e6;M;S;1826
ANTIOQUIA;e7;M;S;971
ARAUCA;e0;M;S;0
ARAUCA;e1;M;S;62
ARAUCA;e2;M;S;2718
ARAUCA;e3;M;S;1655
ARAUCA;e4;M;S;465
ARAUCA;e5;M;S;121
ARAUCA;e6;M;S;28
ARAUCA;e7;M;S;4
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e0;M;S;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e1;M;S;0
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e2;M;S;382
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e3;M;S;245
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e4;M;S;98
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e5;M;S;57
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e6;M;S;20
ARCHIPIELAGO DE SAN ANDRES, PROVIDENCIA Y SANTA CATALINA;e7;M;S;4
ATLANTICO;e0;M;S;0
ATLANTICO;e1;M;S;287
ATLANTICO;e2;M;S;27350
ATLANTICO;e3;M;S;13332
ATLANTICO;e4;M;S;3989
ATLANTICO;e5;M;S;1648
ATLANTICO;e6;M;S;617
ATLANTICO;e7;M;S;86
BOGOTA D.C.;e0;M;S;0
BOGOTA D.C.;e1;M;S;1186
BOGOTA D.C.;e2;M;S;86025
BOGOTA D.C.;e3;M;S;49893
BOGOTA D.C.;e4;M;S;18428
BOGOTA D.C.;e5;M;S;8494
BOGOTA D.C.;e6;M;S;2681
BOGOTA D.C.;e7;M;S;475
BOLIVAR;e0;M;S;0
BOLIVAR;e1;M;S;43
BOLIVAR;e2;M;S;15769
BOLIVAR;e3;M;S;9815
BOLIVAR;e4;M;S;3623
BOLIVAR;e5;M;S;1269
BOLIVAR;e6;M;S;388
BOLIVAR;e7;M;S;62
BOYACA;e0;M;S;0
BOYACA;e1;M;S;162
BOYACA;e2;M;S;9927
BOYACA;e3;M;S;4597
BOYACA;e4;M;S;1663
BOYACA;e5;M;S;665
BOYACA;e6;M;S;159
BOYACA;e7;M;S;25
CALDAS;e0;M;S;0
CALDAS;e1;M;S;121
CALDAS;e2;M;S;9398
CALDAS;e3;M;S;4901
CALDAS;e4;M;S;1688
CALDAS;e5;M;S;766
CALDAS;e6;M;S;248
CALDAS;e7;M;S;48
CAQUETA;e0;M;S;0
CAQUETA;e1;M;S;58
CAQUETA;e2;M;S;3385
CAQUETA;e3;M;S;1783
CAQUETA;e4;M;S;582
CAQUETA;e5;M;S;205
CAQUETA;e6;M;S;54
CAQUETA;e7;M;S;7
CASANARE;e0;M;S;0
CASANARE;e1;M;S;22
CASANARE;e2;M;S;2023
CASANARE;e3;M;S;1260
CASANARE;e4;M;S;438
CASANARE;e5;M;S;144
CASANARE;e6;M;S;27
CASANARE;e7;M;S;4
CAUCA;e0;M;S;0
CAUCA;e1;M;S;195
CAUCA;e2;M;S;14383
CAUCA;e3;M;S;7897
CAUCA;e4;M;S;2990
CAUCA;e5;M;S;1078
CAUCA;e6;M;S;206
CAUCA;e7;M;S;32
CESAR;e0;M;S;0
CESAR;e1;M;S;201
CESAR;e2;M;S;9977
CESAR;e3;M;S;5426
CESAR;e4;M;S;1891
CESAR;e5;M;S;597
