PARAMETER,WORK_GROUP,AGE_GROUP,VALUE,OBSERVATION
PresymptomaticInfectionInExposed ,M,e0,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e1,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e2,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e3,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e4,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e5,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e6,0.00,Calibration
PresymptomaticInfectionInExposed ,M,e7,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e0,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e1,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e2,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e3,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e4,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e5,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e6,0.00,Calibration
PresymptomaticInfectionInExposed ,O,e7,0.00,Calibration
MortalityAllCauseMortality ,ALL,e0,0.00113003,
MortalityAllCauseMortality ,ALL,e1,0.000561818,
MortalityAllCauseMortality ,ALL,e2,0.001384545,
MortalityAllCauseMortality ,ALL,e3,0.001585938,
MortalityAllCauseMortality ,ALL,e4,0.002141687,
MortalityAllCauseMortality ,ALL,e5,0.004265429,
MortalityAllCauseMortality ,ALL,e6,0.010213283,
MortalityAllCauseMortality ,ALL,e7,0.050622495,
MortalityHomecare,ALL,e0,0.0061,
MortalityHomecare,ALL,e1,0,
MortalityHomecare,ALL,e2,0.0006,
MortalityHomecare,ALL,e3,0.0034,
MortalityHomecare,ALL,e4,0.0075,
MortalityHomecare,ALL,e5,0.0175,
MortalityHomecare,ALL,e6,0.0378,
MortalityHomecare,ALL,e7,0.152,
MortalityHospitalized ,ALL,e0,0,
MortalityHospitalized ,ALL,e1,0.0357,
MortalityHospitalized ,ALL,e2,0.0074,
MortalityHospitalized ,ALL,e3,0.0251,
MortalityHospitalized ,ALL,e4,0.0772,
MortalityHospitalized ,ALL,e5,0.0808,
MortalityHospitalized ,ALL,e6,0.148,
MortalityHospitalized ,ALL,e7,0.358,
MortalityCriticalCare ,ALL,e0,0.5,
MortalityCriticalCare ,ALL,e1,0.2,
MortalityCriticalCare ,ALL,e2,0.444,
MortalityCriticalCare ,ALL,e3,0.714,
MortalityCriticalCare ,ALL,e4,0.761,
MortalityCriticalCare ,ALL,e5,0.692,
MortalityCriticalCare ,ALL,e6,0.811,
MortalityCriticalCare ,ALL,e7,0.797,
SymptomaticHospitalized ,ALL,e0,0.269,vaccine
SymptomaticHospitalized ,ALL,e1,0.117,
SymptomaticHospitalized ,ALL,e2,0.141,
SymptomaticHospitalized ,ALL,e3,0.191,
SymptomaticHospitalized ,ALL,e4,0.209,
SymptomaticHospitalized ,ALL,e5,0.291,
SymptomaticHospitalized ,ALL,e6,0.34,
SymptomaticHospitalized ,ALL,e7,0.441,
SymptomaticCriticalCarePopulation ,ALL,e0,0.0496,vaccine
SymptomaticCriticalCarePopulation ,ALL,e1,0.0104,
SymptomaticCriticalCarePopulation ,ALL,e2,0.0141,
SymptomaticCriticalCarePopulation ,ALL,e3,0.0261,
SymptomaticCriticalCarePopulation ,ALL,e4,0.047,
SymptomaticCriticalCarePopulation ,ALL,e5,0.0909,
SymptomaticCriticalCarePopulation ,ALL,e6,0.179,
SymptomaticCriticalCarePopulation ,ALL,e7,0.219,
